TECNOLOGIA	Título
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Comorbidities, Cardiovascular Therapies, and COVID-19 Mortality: A Nationwide, Italian Observational Study (ItaliCO).
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Comorbidities, Cardiovascular Therapies, and COVID-19 Mortality: A Nationwide, Italian Observational Study (ItaliCO).
Metformina	Mortality and other adverse outcomes in patients with type 2 diabetes mellitus admitted for COVID-19 in association with glucose-lowering drugs: a nationwide cohort study.
Heparina	Elevated D-dimers and lack of anticoagulation predict PE in severe COVID-19 patients.
Tocilizumabe	The efficacy of IL-6 inhibitor Tocilizumab in reducing severe COVID-19 mortality: a systematic review.
Atazanavir	A randomized clinical trial of the efficacy and safety of interferon β-1a in treatment of severe COVID-19.
Hidroxicloroquina	A randomized clinical trial of the efficacy and safety of interferon β-1a in treatment of severe COVID-19.
Interferon	A randomized clinical trial of the efficacy and safety of interferon β-1a in treatment of severe COVID-19.
Lopinavir	A randomized clinical trial of the efficacy and safety of interferon β-1a in treatment of severe COVID-19.
Ritonavir	A randomized clinical trial of the efficacy and safety of interferon β-1a in treatment of severe COVID-19.
Tocilizumabe	Effectiveness and safety of intravenous tocilizumab to treat COVID-19-associated hyperinflammatory syndrome: Covizumab-6 observational cohort.
Vacina de vírus inativado	Randomized, double-blinded and placebo-controlled phase II trial of an inactivated SARS-CoV-2 vaccine in healthy adults.
Heparina	Prophylactic or therapeutic doses of heparins for COVID‐19 infection? A retrospective study.
Anakinra	Anakinra in hospitalized patients with severe COVID-19 pneumonia requiring oxygen therapy: results of a prospective, open-label, interventional study.
Anakinra	Anakinra in hospitalized patients with severe COVID-19 pneumonia requiring oxygen therapy: results of a prospective, open-label, interventional study.
Imunoglobulina	Evaluating the effects of Intravenous Immunoglobulin (IVIg) on the management of severe COVID-19 cases: A randomized controlled trial.
Imunoglobulina	Evaluating the effects of Intravenous Immunoglobulin (IVIg) on the management of severe COVID-19 cases: A randomized controlled trial.
Doxiciclina	Utility of Ivermectin and Doxycycline combination for the treatment of SARS- CoV-2.
Ivermectina	Utility of Ivermectin and Doxycycline combination for the treatment of SARS- CoV-2.
Azitromicina	Prevalence of Diabetes, Management and Outcomes among Covid-19 Adult Patients Admitted in a Specialized Tertiary Hospital in Riyadh
Dexametasona	Prevalence of Diabetes, Management and Outcomes among Covid-19 Adult Patients Admitted in a Specialized Tertiary Hospital in Riyadh
Hidroxicloroquina	Prevalence of Diabetes, Management and Outcomes among Covid-19 Adult Patients Admitted in a Specialized Tertiary Hospital in Riyadh
Tocilizumabe	Tocilizumab for Severe Worsening COVID-19 Pneumonia: a Propensity Score Analysis.
Vitamina D (25-hidroxivitamina D)	Short term, high-dose vitamin D supplementation for COVID-19 disease: a randomised, placebo-controlled, study (SHADE study).
Hidroxicloroquina	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Hidroxicloroquina	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Hidroxicloroquina	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Interferon	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Interferon	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Interferon	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Lopinavir	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Lopinavir	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Lopinavir	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Ritonavir	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Ritonavir	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Ritonavir	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Tocilizumabe	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Tocilizumabe	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Tocilizumabe	Mortality risk assessment in Spain and Italy, insights of the HOPE COVID‐19 registry.
Vitamina D (25-hidroxivitamina D)	Vitamin D Deficiency Is Inversely Associated with COVID-19 Incidence and Disease Severity in Chinese People.
Artemisinina	Safety and efficacy of Artemisinin-Piperaquine for treatment of COVID-19: an open-label, non-randomized, and controlled trial.
Piperaquina	Safety and efficacy of Artemisinin-Piperaquine for treatment of COVID-19: an open-label, non-randomized, and controlled trial.
Interferon	Peginterferon-lambda for the treatment of COVID-19 in outpatients.
Interferon	Peginterferon-lambda for the treatment of COVID-19 in outpatients.
Enoxaparina	Comparison between Prophylactic versus Therapeutic Doses of Low-Molecular-Weight Heparin in Severely Ill Coronavirus Disease 2019 Patients in Relation to Disease Progression and Outcome.
Hidroxicloroquina	Efficacy and Safety of Ivermectin for Treatment and prophylaxis of COVID-19 Pandemic.
Ivermectina	Efficacy and Safety of Ivermectin for Treatment and prophylaxis of COVID-19 Pandemic.
Adalimumabe	Letter: severe COVID‐19 infection and biologic therapies—a cohort study of 7808 patients in France.
Etanercepte	Letter: severe COVID‐19 infection and biologic therapies—a cohort study of 7808 patients in France.
Infliximabe	Letter: severe COVID‐19 infection and biologic therapies—a cohort study of 7808 patients in France.
Ustekinumabe	Letter: severe COVID‐19 infection and biologic therapies—a cohort study of 7808 patients in France.
Vedolizumab	Letter: severe COVID‐19 infection and biologic therapies—a cohort study of 7808 patients in France.
Lenzilumabe	GM-CSF Neutralization With Lenzilumab in Severe COVID-19 Pneumonia: A Case-Control Study, Mayo Clinic Proceedings
Benralizumabe	Clinical characteristics in 545 patients with severe asthma on biological treatment during the COVID-19 outbreak.
Dupilumabe	Clinical characteristics in 545 patients with severe asthma on biological treatment during the COVID-19 outbreak.
Mepolizumabe	Clinical characteristics in 545 patients with severe asthma on biological treatment during the COVID-19 outbreak.
Omalizumabe	Clinical characteristics in 545 patients with severe asthma on biological treatment during the COVID-19 outbreak.
Reslizumabe	Clinical characteristics in 545 patients with severe asthma on biological treatment during the COVID-19 outbreak.
Cloroquina	Cloroquina y sus derivados en el manejo de la COVID-19: una revisión sistemática exploratoria
Cloroquina	Cloroquina y sus derivados en el manejo de la COVID-19: una revisión sistemática exploratoria
Hidroxicloroquina	Cloroquina y sus derivados en el manejo de la COVID-19: una revisión sistemática exploratoria
Hidroxicloroquina	Cloroquina y sus derivados en el manejo de la COVID-19: una revisión sistemática exploratoria
Remdesivir	Remdesivir Use Compared With Supportive Care in Hospitalized Patients With Severe COVID-19: A Single-Center Experience
Vitamina D (25-hidroxivitamina D)	Vitamin D status and seroconversion for COVID-19 in UK healthcare workers who isolated for COVID-19 like symptoms during the 2020 pandemic.
Tocilizumabe	The efect of tocilizumab on cytokine release syndrome in COVID‐19 patients.
Favipiravir	The effect of favipiravir on QTc interval in patients hospitalized with coronavirus disease 2019.
Vitamina D (25-hidroxivitamina D)	Mathematical analysis of Córdoba calcifediol trial suggests strong role for Vitamin D in reducing ICU admissions of hospitalized COVID-19 patients.
Favipiravir	Randomized Controlled Open Label Trial on the Use of Favipiravir Combined with Inhaled Interferon beta-1b in Hospitalized Patients with Moderate to Severe COVID-19 Pneumonia.
Interferon beta	Randomized Controlled Open Label Trial on the Use of Favipiravir Combined with Inhaled Interferon beta-1b in Hospitalized Patients with Moderate to Severe COVID-19 Pneumonia.
Dexametasona	Corticosteroids are associated with increased survival in elderly presenting severe SARS-Cov2 infection.
Hidrocortisona	Corticosteroids are associated with increased survival in elderly presenting severe SARS-Cov2 infection.
Prednisolona	Corticosteroids are associated with increased survival in elderly presenting severe SARS-Cov2 infection.
Prednisona	Corticosteroids are associated with increased survival in elderly presenting severe SARS-Cov2 infection.
Fluvoxamina	Fluvoxamine vs Placebo and Clinical Deterioration in Outpatients With Symptomatic COVID-19 A Randomized Clinical Trial.
Tocilizumabe	Tocilizumab in the treatment of rapidly evolving COVID-19 pneumonia and multifaceted critical illness: A retrospective case series.
Tocilizumabe	Tocilizumab in the treatment of rapidly evolving COVID-19 pneumonia and multifaceted critical illness: A retrospective case series.
Tocilizumabe	Tocilizumab in the treatment of rapidly evolving COVID-19 pneumonia and multifaceted critical illness: A retrospective case series.
Interferon beta	Safety and efficacy of inhaled nebulised interferon beta-1a (SNG001) for treatment of SARS-CoV-2 infection: a randomised, double-blind, placebo-controlled, phase 2 trial.
Antagonista de β-adrenérgico	Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis.
Antagonista de β-adrenérgico	Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis.
Antagonistas do Receptor da Angiotensina II	Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis.
Antagonistas do Receptor da Angiotensina II	Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis.
Anti-hipertensivos	Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis.
Anti-hipertensivos	Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis.
Bloqueadores do Canal de Cálcio	Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis.
Bloqueadores do Canal de Cálcio	Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis.
Diuréticos	Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis.
Diuréticos	Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis.
Dexametasona	Corticosteroid therapy for coronavirus disease 2019‑related acute respiratory distress syndrome: a cohort study with propensity score analysis.
